name,ssn,department,salary,gender,country,additional_languages
Sheri Baker,683-04-5046,Marketing,50949,Male,India,"French, Spanish"
Nicholas Rivera,783-39-3702,Operations,95189,Male,India,"Chinese, Arabic"
Janet Williams,229-55-1275,Administrative,52741,Female,India,
Donna Montes,116-07-7098,Marketing,104101,Female,China,
Jessica Chase,511-09-1578,Finance,109548,Male,India,
Sara Martinez,019-46-8038,IT,111144,Male,India,Chinese
Jacqueline Parker,312-90-9167,Product,122709,Male,India,
Joyce Grant,052-10-2598,Human Resource,82202,Male,India,
Wyatt Dickerson,146-83-2865,Product,121637,Male,India,Arabic
Jody James,358-29-8444,Product,73837,Female,India,Arabic
Emily Morris,206-53-9207,Product,142847,Female,India,Spanish
Connor Cummings,374-45-5435,Legal,62661,Male,India,French
Joshua Ruiz,729-92-9353,Operations,72253,Female,India,
Zachary Wilson,145-87-5104,Administrative,36836,Male,India,Arabic
April Lewis,123-94-6552,Administrative,54332,Male,India,
Zachary Nguyen,419-66-0377,Human Resource,86614,Female,India,Spanish
Jorge Brown,245-09-9758,Operations,41250,Male,India,"Hindi, French"
Steven Taylor,591-65-7011,Human Resource,76037,Female,India,French
Zachary Jackson,520-45-4859,IT,124009,Male,India,
Sara Cunningham,294-83-4975,IT,68511,Female,India,"Chinese, Hindi"
Samantha Payne,073-75-7836,Product,143259,Female,China,French
Stacy Reed,895-09-7455,Product,78871,Female,India,Hindi
Hannah Curtis,288-89-6294,Marketing,98261,Female,India,Hindi
Peter Smith,596-98-8231,Human Resource,89562,Female,India,
Sarah Hudson,829-93-8352,Sales,85871,Female,India,"Spanish, Hindi"
Melissa Hays,504-17-4824,Product,79026,Male,India,
Erin Carroll,168-66-2158,Marketing,106367,Female,India,Spanish
Cynthia Carter,116-04-5206,Operations,89515,Male,India,
Johnathan Marks,086-48-6206,Sales,59478,Male,India,Chinese
Donna Wiggins,512-37-3058,Operations,90092,Male,India,French
Anthony Dennis,496-10-0492,Administrative,55059,Male,India,"Chinese, Arabic"
Lindsay Day,401-12-9053,Product,89187,Male,China,
Candace Woods,682-85-7313,IT,86079,Male,India,French
Timothy Rivera,198-40-8905,Administrative,54831,Female,China,
Nicole Marshall,170-87-6286,Administrative,57413,Female,India,"Chinese, German"
Tammy Johnson,229-64-7256,Product,106091,Male,India,"French, Spanish"
Lisa Little,198-57-1756,Product,127028,Female,India,Chinese
Steven Moore,040-40-8628,Human Resource,65830,Male,India,"German, Hindi"
Stanley Clayton,149-68-3344,Product,80542,Male,India,"Arabic, Spanish"
Judy Wilkerson,309-98-0648,Marketing,57764,Female,India,"Arabic, French"
Daniel Ferguson,636-68-4851,Product,139763,Male,India,"Hindi, Chinese"
Megan Fernandez,184-21-1490,Product,93650,Male,India,
Anthony Carpenter,003-91-7756,Product,95290,Female,India,"Chinese, Arabic"
Edward Peterson,074-52-9904,Operations,47217,Male,India,Arabic
Daniel Perkins,461-70-1737,Product,135453,Female,China,"Arabic, French"
Daniel Walker,239-12-2370,Operations,79048,Female,India,
Hannah Davis,466-44-6909,Product,97809,Male,China,
Jennifer Franklin,066-47-6827,Sales,74457,Male,India,"German, Hindi"
Justin Gonzalez,589-30-4249,Administrative,32943,Female,India,"Hindi, French"
Brian Bell,881-44-9797,Operations,86138,Male,India,"Spanish, Arabic"
Victoria Perez,467-11-2198,Human Resource,53379,Male,India,"Spanish, German"
John Baker,003-02-2838,Product,109787,Female,India,"German, French"
Kyle Gonzalez,002-07-4429,Marketing,109913,Male,India,
Dr. Joshua Christian,571-99-6154,Product,96071,Female,India,German
James Cruz,728-66-9046,Operations,85725,Female,India,
Austin Barnes,052-70-6386,Operations,88565,Female,India,Spanish
Mrs. Katelyn Dean,676-10-3691,Operations,65189,Female,India,"French, Arabic"
Mark Thomas,461-26-5561,Legal,51825,Male,India,
Janet Frazier,676-19-6364,Administrative,39450,Male,India,"Hindi, Spanish"
Michael Farrell,363-35-5134,Product,119342,Female,India,Arabic
Traci Lee,406-01-3620,Sales,42437,Female,India,Spanish
Rachel Smith,499-63-5051,Product,130855,Male,India,
Lisa Sexton,131-99-0590,Product,116080,Female,China,"Spanish, French"
Melanie Campbell,174-32-0449,Product,126591,Male,India,Spanish
Laura Lucas,147-36-5913,Product,74397,Female,India,"Chinese, Spanish"
Kimberly Clark,381-65-3521,Administrative,50585,Male,India,
Lance Rios,452-55-4932,Human Resource,64724,Male,China,"Arabic, German"
Ariel Cooper,816-60-2317,Product,101886,Male,India,
Jacqueline Baxter,360-52-8606,Operations,94032,Male,India,
Emily Johnson,032-71-3043,Administrative,56667,Female,India,
Brian Molina,061-52-7420,Sales,58396,Female,India,Hindi
Ashley Odonnell MD,560-57-3225,Product,115814,Female,India,"Arabic, Chinese"
Regina Love,203-20-3211,IT,107422,Male,India,Hindi
Mr. Scott Johnson DVM,345-06-6252,Administrative,61041,Female,China,"Chinese, Arabic"
Jade Evans,786-76-4423,Sales,109762,Female,India,"Hindi, Arabic"
Donna Moran,663-69-7161,Administrative,42388,Female,India,Spanish
Peter Rasmussen,411-37-6231,Marketing,81682,Female,India,"French, Chinese"
Michael Brown,698-11-6453,Sales,85553,Male,India,"French, Hindi"
Megan Wu MD,780-95-7859,Administrative,48762,Male,India,German
William Cook,806-49-9577,Operations,61266,Female,India,French
Gregory Banks,713-35-1868,Marketing,77230,Male,India,
Diana Gray,475-18-1139,IT,61454,Female,India,"Spanish, Chinese"
William Martin,048-55-6396,Human Resource,85457,Female,India,"Chinese, Arabic"
Terry Dixon,767-92-6723,Human Resource,46395,Male,India,
Cindy Graham,823-25-3619,Finance,53405,Female,India,"Arabic, Chinese"
Stephen Cameron,800-43-2547,IT,96930,Male,China,"Hindi, French"
William Perez,195-22-2627,Sales,57476,Male,India,"Chinese, Arabic"
Tyler Wu,560-95-9688,Operations,81323,Female,India,Chinese
Ryan Dennis,029-44-8052,Operations,83528,Female,India,Chinese
Nathan Perez,280-41-0137,Product,110270,Female,India,"German, Spanish"
Tina Hernandez,823-63-4841,IT,99406,Female,India,
Amy Rodriguez,801-30-1762,Product,138183,Female,India,"Hindi, Arabic"
Robert Sanders,508-09-4374,Operations,64615,Male,India,
Peter Martin,367-36-4098,Product,73946,Female,India,French
Frank Ritter,472-69-4238,Marketing,68922,Female,India,
Jeremiah Johnston,435-68-2535,Operations,93576,Male,India,German
Adam Walton,714-14-4846,Operations,81621,Female,India,"Spanish, French"
Jose Baker,535-04-0895,Human Resource,71701,Female,India,French
Joe Moran,763-01-1939,Marketing,87946,Male,India,
Frank Peterson,514-93-6897,Product,104731,Female,India,
John Delgado,469-10-4624,Administrative,58744,Female,India,French
Carla Lutz,606-82-1691,IT,126706,Male,India,
Edward Baker,621-88-8380,Finance,105371,Female,India,French
Autumn Lee,569-46-3472,Marketing,93631,Male,India,French
Heather Brown,687-50-0086,Operations,64144,Female,India,"Arabic, French"
Monica Thompson,406-91-6872,Product,136826,Female,China,Chinese
Kenneth Allen,138-71-1964,Operations,96521,Female,India,Hindi
Steven Davis,694-25-0871,Sales,76226,Male,India,Arabic
David Stanley,758-30-0918,Human Resource,78181,Male,India,
Larry Gregory,645-38-4992,IT,60102,Male,India,"German, Chinese"
Cody Guzman,232-20-3972,IT,91359,Male,India,
Donald Ramirez,797-92-4573,Operations,83837,Male,India,"German, Hindi"
William Riley,861-90-5927,Operations,95859,Male,India,
Rachael Hayes,201-57-3567,Human Resource,86363,Female,India,French
Grace Howard,065-96-4681,Product,104466,Male,India,
Joshua Bailey,461-77-3269,Operations,72145,Male,China,"Arabic, French"
Susan Kirk,078-82-7947,Administrative,41921,Female,India,French
Caleb Parker,693-66-0791,Product,85873,Male,India,Arabic
Jeffrey Johnson,161-01-6955,Human Resource,61382,Male,India,"Arabic, French"
Mary Smith,111-64-5819,IT,132066,Female,India,
Steven Baldwin,694-65-5738,Administrative,48831,Female,India,
Mary Hernandez,304-81-5626,IT,68940,Female,India,
Jason Miller,649-68-2389,Operations,47301,Female,India,Hindi
Michelle Webb,221-23-5626,Operations,47354,Male,India,"Hindi, Chinese"
Jasmine Stark,782-22-4475,Administrative,53781,Female,India,
Whitney Smith,706-05-6443,Legal,85896,Female,Canada,
Lonnie Glenn,840-73-9176,Product,112036,Female,India,
Andrew Moreno,494-98-2832,Human Resource,65543,Female,India,
Jason Berger,285-73-8729,Human Resource,85052,Male,India,
Patricia Daniel,351-62-4674,Marketing,103581,Male,China,German
Paul Brennan,098-44-0510,Human Resource,43446,Male,India,
Sherry Smith,430-22-1595,Product,116616,Female,India,"German, Arabic"
Angela White,326-12-2582,Human Resource,53698,Female,China,
Leslie Wheeler,303-58-5890,Legal,100143,Male,India,Chinese
Justin White,501-94-4876,Product,80999,Male,India,Chinese
Paul Smith,513-65-5245,Administrative,32509,Male,India,
Robert Castillo,396-90-0643,Human Resource,76060,Male,India,"German, Spanish"
Jason Gutierrez,787-27-6079,Human Resource,40741,Female,India,"German, French"
Casey Novak,186-60-6953,Legal,128209,Male,India,"Chinese, German"
Tamara Miller,372-13-9440,Product,105804,Male,India,
Jeffrey Powers,674-67-0163,Product,113946,Male,India,"Hindi, Spanish"
Eric Gonzalez,735-45-5509,Operations,97028,Male,India,
Jennifer Atkins,330-79-1749,Operations,54633,Female,India,"Spanish, German"
Kelly Jennings,746-01-2868,Legal,126509,Female,Phillipines,"French, Hindi"
Charles Shaw,681-39-7297,Sales,73440,Female,India,Chinese
John Patton,108-44-8220,Administrative,66547,Male,India,"Arabic, Spanish"
Kenneth Moon,436-79-6101,Product,82493,Male,India,
Eileen Andrade,180-62-4277,Operations,69121,Male,India,Chinese
Donald Boyle,723-33-2687,Legal,87780,Male,India,
Cindy Juarez,756-21-9302,Administrative,66452,Female,India,French
Kimberly Zuniga,877-37-7220,Product,96042,Male,India,"Chinese, Arabic"
Scott Gonzalez,070-55-7761,Product,104667,Male,India,"Spanish, Chinese"
Curtis Wright,798-62-1171,Legal,128112,Female,India,"Chinese, French"
Victor Zimmerman,669-25-7549,Legal,149425,Male,India,Spanish
Zachary Singh,873-48-6012,Sales,100041,Female,India,
William Ortiz,127-59-4633,Administrative,60213,Male,India,
Justin Carlson,167-68-0410,Operations,63357,Male,India,
Heidi Briggs,031-52-0924,Human Resource,85885,Male,India,Hindi
Mary Palmer,403-86-0800,Product,75536,Female,India,
David Anthony,836-06-2326,Marketing,80248,Male,India,"Chinese, French"
Debra Williams,058-42-5023,Finance,86658,Female,India,"Hindi, Arabic"
Dana Jones,452-07-5884,Finance,109461,Male,India,"French, German"
Tracy Johnson,612-09-2975,Finance,91721,Female,Taiwan,"Arabic, Hindi"
Kenneth Burke,173-89-6249,Product,135736,Male,India,"Arabic, French"
Adam Williams,714-51-5888,Product,95537,Male,China,"Spanish, Hindi"
Amy Howell,481-26-8576,Operations,66659,Female,India,"French, Hindi"
Kayla Thomas,292-05-6936,Product,85775,Female,India,
Amy Jenkins,540-87-1911,Administrative,66703,Male,India,
Mary Berry PhD,855-73-9801,Human Resource,65802,Female,China,"Hindi, French"
Danielle Brennan,774-72-0845,Product,107312,Male,India,Chinese
Amy Baker,549-18-1276,Operations,85809,Female,China,"Hindi, Chinese"
Nathaniel Andrade,218-13-6573,Marketing,71303,Female,India,"Hindi, German"
Nicole Lopez,143-94-7009,Administrative,62761,Male,India,"Hindi, Arabic"
Joanna Walker,465-76-2520,IT,105383,Female,India,Arabic
Zachary Smith,676-63-5384,Sales,41106,Female,India,
Elizabeth White,166-61-9631,Sales,107684,Male,India,"Arabic, French"
Mark Henry,792-28-0683,Sales,53125,Female,India,Hindi
Mr. Mark Sims,238-66-8035,Human Resource,52949,Male,India,
Kathleen Stevens,641-26-4910,Operations,83420,Female,India,
Justin Brown,067-60-4607,Human Resource,86890,Male,China,German
Richard Herrera,186-93-3518,Product,95325,Male,India,French
Jose West,025-98-1278,IT,131145,Male,India,French
Anthony Jimenez,313-56-8744,Operations,71477,Female,India,Chinese
Dean Jackson MD,382-90-8186,Product,123459,Male,India,Hindi
Cheryl Jenkins,702-23-4470,Marketing,106411,Female,India,
Susan Sanchez,175-42-5390,Product,110797,Female,India,
Devon Bennett,555-98-3103,IT,126102,Male,India,
Yolanda Wong,062-94-0203,Product,91498,Female,India,Arabic
Jason Acosta,004-34-5032,Product,76836,Female,China,Spanish
Gina Spears,332-79-8354,Product,92719,Female,India,
Walter Jones,854-75-3659,Operations,40424,Male,India,Hindi
Judith Palmer,847-25-6088,Human Resource,64212,Male,India,French
Diana Yates,030-94-7532,Administrative,43312,Male,India,
Laura Johnson,331-51-1262,Marketing,91188,Male,USA,Spanish
Hannah Spears,097-62-8455,Marketing,63427,Male,India,"Arabic, Chinese"
David Parsons,301-03-7590,IT,131241,Female,India,
Kelsey Rodriguez,701-91-9304,Operations,54846,Male,India,
Catherine Matthews,547-75-4209,IT,130499,Female,China,"Hindi, German"
